STRUCTURE_NUMBER_008,ADT_029,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
11732,57988,967.7,21.7,6,6,6
11733,6050,64.3,13,7,6,7
11734,5213,26.5,13,7,7,7
11735,3917,131.4,12.8,7,7,7
11736,62217,14.6,0,N,N,N
11737,5804,73.2,24.7,7,9,8
11738,17014,306,9,6,8,7
11739,22368,138.7,17.6,6,7,8
1174,9679,126.5,10.6,6,7,7
11740,2839,100.9,12.6,7,7,7
11741,8666,97.8,12.6,6,7,8
11742,6573,120.4,22.2,7,7,7
11743,3706,108.2,12.6,7,6,8
11744,7371,74.7,12.6,8,9,8
11745,8680,74.7,12.6,8,9,9
11746,8680,39.3,12.6,7,9,9
11747,8110,39.3,12.6,7,9,9
11748,841,87.5,12.6,7,9,7
11749,2109,76.5,12.6,7,8,7
1175,9679,58.8,10.6,6,6,7
11750,7735,48.5,12.6,7,9,8
11751,1638,7.7,0,N,N,N
11752,8680,82.6,12.6,8,9,9
11753,8110,82.6,12.6,8,9,9
11754,8680,72.8,12.6,8,8,8
11755,8110,72.8,12.6,8,7,9
11756,7825,85.6,12.6,7,7,7
11757,7735,85.6,12.6,7,7,8
11758,1253,7,0,N,N,N
11759,966,36.3,9,7,8,8
1176,32178,61,23.1,6,6,7
11760,5408,55.2,11.4,8,8,8
11761,25440,66.8,22.4,7,7,7
11762,4988,13.9,0,N,N,N
11763,367,46.3,11.6,8,7,6
11764,4541,110.9,9,7,9,9
11765,2072,9.4,0,N,N,N
11766,17646,79.9,13,7,7,8
11767,8059,6.4,15.6,N,N,N
11768,18534,502.3,13,6,6,7
11769,64064,983.6,26.3,6,6,6
1177,29662,108.2,23,6,6,6
11770,8054,341.7,12.6,6,7,7
11771,8848,12.4,0,N,N,N
11772,455,80.8,9.4,7,7,7
11773,455,57.9,9.4,7,9,8
11774,8638,45.1,12.6,8,9,7
11775,8660,45.1,12.6,8,9,7
11776,3577,49.7,13.9,7,7,9
11777,4013,52.1,13.9,7,7,7
11778,200,100.3,11.6,7,9,8
11779,414,11.1,14.3,N,N,N
1178,1,52.1,10.3,5,5,6
11780,3748,80.2,14,7,8,7
11781,3717,99.7,12.8,7,8,8
11782,16490,9.8,0,N,N,N
11783,1154,187.8,10.8,7,7,6
11784,262,73.5,12,8,7,8
11785,4995,81.1,12.2,6,8,8
11786,7656,81.1,12.2,6,7,7
11787,772,20.6,10.8,N,N,N
11788,4815,10,0,N,N,N
11789,1481,131.1,11.4,7,8,9
1179,6953,52.1,10.3,5,5,6
11790,13580,6.3,0,N,N,N
11791,1472,59.7,14,7,9,8
11792,6015,67.7,14.8,7,8,9
11793,4635,67.7,12.4,8,9,7
11794,4995,93.3,12.2,7,7,7
11795,5054,93.3,12.2,7,7,7
11796,4995,222.8,12.2,6,8,7
11797,1665,83.2,14,7,7,7
11798,4995,122.2,12.2,7,7,8
11799,5393,122.5,12.2,7,7,8
118,2500,53.9,13.5,7,5,6
1180,7406,88.1,10,6,6,7
11800,3201,132.9,12.6,8,9,9
11801,7101,11.4,0,N,N,N
11802,2678,111.9,21.5,7,9,8
11803,13918,74.4,13.9,8,8,9
11804,3395,103.6,16.9,7,9,8
11805,90723,58.5,48.3,7,7,8
11806,9316,102.7,17,7,7,7
11807,18066,79.9,13,8,8,8
11808,7742,60.7,13.9,8,9,9
11809,8592,105.2,13.9,8,9,9
1181,41779,15.9,0,N,N,N
11811,8115,315.5,13,7,7,7
11812,5585,15.9,0,N,N,N
11813,2906,130.8,12.8,8,8,8
11814,2906,39.3,13.4,8,9,8
11815,988,7.9,0,N,N,N
11816,12608,74.1,9.6,7,7,7
11817,26526,8.5,0,N,N,N
11818,42332,9.1,0,N,N,N
1182,1149,133.5,8.7,5,6,7
11820,7433,44.8,14.2,8,6,6
11821,3210,50.9,12.2,7,7,7
11822,3196,53.3,12.2,8,8,7
11823,7006,89,12.2,7,7,8
11824,8511,62.5,12.6,7,8,8
11825,8511,8.4,0,N,N,N
11826,9545,93.3,15.1,7,9,7
11827,8757,366.1,12.4,6,7,7
11828,20200,90.2,9.6,6,6,7
11829,6898,7.6,0,N,N,N
1183,67944,90.2,20.3,6,7,7
11830,4650,157.6,13.9,7,7,6
11831,854,108.2,33.7,7,7,8
11833,3196,35.7,12.2,7,8,8
11834,18468,98.5,23.4,6,7,7
11835,5842,73.2,9.7,5,6,6
11836,10453,75.3,23.2,7,8,8
11837,255,90.8,10.8,8,9,8
1184,71008,96.9,22.8,6,7,6
11840,557,90.5,9.2,7,7,8
11841,5929,90.5,9.2,7,7,8
11842,10074,80.8,12.6,6,8,9
11843,10103,78.9,12.6,8,8,8
11844,12879,7.1,0,N,N,N
11845,17657,13.1,0,N,N,N
11846,3316,41.5,12.8,7,7,7
11847,4516,18.9,8.6,7,7,8
11848,7061,88.7,12.2,7,7,8
1185,667,29.9,9.6,7,6,7
11850,4162,54.3,12.2,7,9,9
11851,6136,110.9,9.7,5,3,6
11852,6372,121.9,11.3,7,7,7
11853,20552,58.5,12.8,7,9,7
11854,26046,62.5,12.8,7,9,7
11855,5996,167.3,13.4,7,8,7
11856,5996,110.9,13,7,9,8
11857,1164,68.3,13.9,7,7,7
11858,558,36,10.5,7,7,7
11859,6294,226.5,12.6,7,9,7
1186,4945,53.3,9.6,6,7,6
11860,6294,9.5,0,N,N,N
11861,6758,41.8,11.1,7,7,8
11862,9464,23.8,11.1,8,8,8
11863,9168,84.7,21.5,8,8,8
11864,1798,50,11.6,7,9,8
11865,1798,38.4,11.6,7,9,8
11866,1798,57.3,11.6,7,9,7
11867,1524,39.3,14,7,9,7
11868,4536,40.2,12.8,8,8,8
11869,1753,77.7,10.2,7,8,9
1187,4945,99.9,9.6,7,7,6
11870,3990,11.6,12.6,N,N,N
11871,3550,60.4,12.8,7,8,9
