STRUCTURE_NUMBER_008,ADT_029,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
29577,3742,122.7,12.4,7,8,7
29578,3747,123,12.4,7,9,7
29579,3742,123,12.4,7,8,7
2958,11178,89.9,14,7,8,8
29581,2728,59.6,13,7,7,6
29582,1610,75.9,13,6,7,8
29583,1000,19.9,15.4,9,8,9
29584,30102,93.6,21.2,7,8,7
29585,4956,223.2,13,7,6,8
29586,25,18.4,7.4,8,7,8
29587,5,21.4,7.3,8,7,8
29588,5,17.6,7.4,8,7,8
29589,20,15.2,7.3,8,7,8
2959,11418,86.3,13,7,7,7
29590,15,18.4,7.4,8,7,8
29591,25,10.1,6.7,6,7,3
29592,96,21,16.7,7,7,8
29593,50,9.1,6.1,7,7,7
29594,200,6.4,9.3,N,N,N
29595,15,23.2,7.5,8,8,6
29596,11662,6.3,0,N,N,N
29597,5849,51.8,12.4,7,7,7
29598,1531,137.6,11.8,7,7,9
29599,834,63.2,11.8,7,7,9
296,53087,7.7,0,N,N,N
2960,11634,93.6,13,8,7,7
29600,28112,109.4,22.3,7,7,7
29601,2032,86.3,12.8,7,9,9
29602,25,18.3,6.2,8,8,8
29603,20,15.4,6.2,8,7,6
29604,25,15.2,6.2,8,7,5
29605,25,7.3,6.2,8,7,7
29606,9709,80.7,25.4,7,9,9
29607,25,24.4,6.2,7,8,8
29608,25,21.3,6.2,7,7,7
29609,20,8.7,6.2,8,6,8
2961,11418,60,13,7,7,7
29610,25,7.6,6.2,8,7,7
29612,35,10.1,7.8,7,7,9
29613,35,10.1,7.8,8,7,8
29614,25,22.9,7.9,8,9,9
29615,1706,101.9,13,7,9,7
29616,1706,134.6,13,7,9,9
29617,910,12,0,N,N,N
29618,15,19.2,7.5,8,8,9
29619,35,17.5,7.5,7,8,9
2962,11634,60,13,7,7,7
29620,45,22.9,8.1,7,9,9
29621,200,7.3,6,8,8,8
29622,40,10.1,7.7,8,8,9
29623,75,9.1,5.5,5,6,7
29624,75,9.1,5.1,6,6,6
29625,1950,10.7,9.8,8,8,8
29626,344,16.5,10.6,7,8,8
29627,75,37.5,7.5,8,8,9
29628,50,31.4,7.5,8,8,9
29629,2595,101.5,13,7,7,9
2963,11634,71.9,15.5,8,8,7
29630,5278,89.6,13,7,9,8
29631,35,22.6,7.9,7,7,8
29632,2102,95.1,13,8,7,9
29633,6020,83.2,13,7,7,9
29634,28505,61,30.5,6,6,8
29635,951,43.6,10.6,7,9,9
29636,45,39.3,7.5,7,8,7
29637,1086,187.5,11.8,8,8,8
29638,10,54.5,8.1,7,8,8
29639,8537,63.4,13,7,7,9
2964,2580,70.4,13,8,8,7
29640,50,23.8,7.3,8,8,8
29641,466,18,0,N,N,N
29642,35,47.5,7.9,8,7,7
29643,6316,51.8,12.4,7,7,8
29644,37059,35.7,28.8,7,8,7
29645,100,8.8,0,N,N,N
29646,100,55.4,8,8,7,9
29647,50,6.4,0,N,N,N
29648,8973,92.4,29,7,9,7
29649,33,43.6,8.1,8,8,9
2965,10757,74.7,8.6,8,7,8
29650,3939,49.1,13,6,7,9
29651,100,10.7,6.8,8,8,7
29652,25,12.2,6.2,8,8,8
29653,25,7.2,6.2,8,6,8
29654,20,34.1,8.1,7,7,7
29655,1356,61,13,8,8,8
29656,50,8.5,6.2,7,6,7
29657,35,34.6,7.5,8,8,8
29658,300,11.6,11.4,N,N,N
29659,70,53,7.5,8,8,7
2966,2580,84.1,15.5,7,7,5
29660,12032,7.9,0,N,N,N
29661,1200,35.7,9.9,7,9,7
29662,2000,70.1,11.3,7,8,8
29663,1652,7.9,10.7,8,8,6
29664,5000,36.1,18.9,7,7,6
29665,4,12.4,5.3,7,7,7
29666,998,39.3,10.6,6,9,9
29667,14490,70.1,16.1,7,8,7
29668,36781,116.1,29.7,7,7,7
29669,651,64.3,10.6,7,6,8
2967,11634,84.1,15.5,7,7,6
29670,173,36.9,10.6,7,7,8
29671,840,43.3,10.6,7,7,7
29672,2065,69.3,13,7,8,9
29673,29349,258.5,25.8,7,8,7
29674,55,8.8,6.1,7,7,6
29675,50,25.3,5,7,7,7
29676,20,9.4,4.1,7,7,6
29677,35,9.1,5.5,7,7,6
29678,5494,39.6,13.6,8,8,9
29679,5579,39.6,13.6,8,7,9
2968,1490,32.3,11.4,7,7,7
29680,10801,381.4,13,6,7,6
29682,100,10.1,6.9,8,9,9
29683,30,9.2,6.9,8,8,8
29684,100,9.1,6.9,8,8,8
29685,200,12,8.7,7,7,6
29686,20,15.2,6.9,8,9,8
29687,35,23.5,8,9,9,9
29688,45,71,7.5,7,7,7
29689,1858,33.5,22,7,9,8
2969,13818,65.8,14.4,7,6,6
29690,5738,96.3,14.6,7,7,7
29691,110,15.5,6.3,8,7,7
29692,60,16.5,7.9,8,8,7
29693,60,14,7.5,7,7,6
29694,15,9.4,7.2,7,7,8
29695,50,10.1,8.2,6,6,6
29696,5,9.8,7.8,7,7,8
29697,25,8.8,7.9,6,6,8
29698,58625,510.2,22.8,6,7,7
29699,12775,90,10,7,9,8
297,27678,61.9,22.2,6,7,6
2970,1189,9.8,0,N,N,N
29700,7339,473.4,10,6,7,7
29701,50,8.4,6.9,7,7,7
29702,50,8.5,6.2,6,6,5
29703,25,8.5,6.3,7,7,7
29704,15,14.9,7.3,8,7,6
29706,30,13.4,7.3,7,7,7
29707,15,11.1,7.3,8,8,8
29708,40,10.4,7.3,8,8,6
29709,50,8.7,7.7,8,8,8
2971,5526,93.3,13,7,6,6
29710,50,9.9,8.2,8,8,8
29711,100,9.1,9.2,8,8,6
29712,150,8.1,7.9,8,8,8
29713,50,11.3,5.5,8,8,8
29714,100,26.1,7.4,8,8,5
29715,50,22.9,7.3,N,N,N
29716,100,37.2,7.3,8,8,8
29717,18,18.3,6.1,6,7,7
29718,10,12.5,7.3,7,7,7
29719,15,11,7.3,7,7,8
2972,5164,134.7,13,7,7,7
29720,35,24.4,7.5,8,8,8
29721,25,18,7.5,7,7,8
29722,25,9.1,7.9,7,7,8
29723,35,9.1,7.9,7,7,7
29724,45,22.9,7.5,7,7,7
29725,20,27.4,7.4,7,7,7
29726,50,6.9,7.9,7,7,7
29727,200,56.4,7.9,7,8,8
29728,35,21.2,6.3,8,8,8
29729,50,39.6,7.5,7,7,7
2973,15658,74.1,24.6,7,6,7
29730,50,12.2,7.5,7,8,8
29731,1250,9.8,11.9,N,N,N
29732,51366,87.4,29.9,7,9,8
29734,700,6.3,8.8,N,N,N
29735,700,10.1,7.8,7,7,8
29737,25,19.8,6.2,8,8,7
29738,125,13,9.1,7,8,7
29739,50,45.7,7.5,7,8,7
2974,2344,40.5,14.4,6,7,6
29740,20,18.9,6.3,8,8,7
29741,972,75.4,10.6,8,8,9
29742,50,18,7.9,7,7,7
29743,45,18,6.4,8,8,7
29744,25,24.4,6.4,8,7,7
29745,10,39.6,7.5,7,7,8
29746,10,15.3,6.2,8,8,8
29747,15,22.3,6.7,8,8,8
29748,35,9.2,6.1,7,7,7
29749,25,12.5,6.3,8,8,8
2975,4536,9.8,0,N,N,N
29750,50,23.9,7.5,8,8,8
29751,10,12.6,7.1,8,6,8
29752,20,12.4,4.9,8,8,7
29753,35,47.9,7.9,8,8,8
29754,15,25.6,7.5,8,7,9
29755,20,23.3,8.1,8,8,9
29756,300,25,8.2,8,6,7
29758,50000,151.9,27.2,7,8,7
29759,17000,84.7,29.1,7,5,6
2976,7914,107.3,12.8,7,8,7
29760,10090,12.8,18,6,6,7
29761,10679,80.8,19.8,7,9,8
29762,27000,16.5,28.7,N,7,8
29764,40,27.4,7.5,8,8,8
29765,35,21.3,6.1,8,7,8
29767,25,22.3,7.5,8,8,8
29768,100,29.9,7.9,7,8,9
29769,35,7.3,6.1,8,7,7
2977,6572,100.3,12.8,7,7,7
29770,15,22.3,6.1,8,7,7
29771,50,8.8,6.1,7,7,7
29772,35,6.7,6.2,8,5,7
29773,35,7,0,N,N,N
29774,15,8.5,6.1,7,7,6
29775,20,11.9,6,7,7,6
29776,15,7.3,6.1,8,7,6
29777,20,22.6,6.1,8,7,7
29778,35,29.3,8.1,8,8,8
29779,35,12,7.3,8,6,8
2978,13448,414.8,12.8,7,5,4
29780,10,24.4,4.9,8,8,8
29781,6550,67.1,13,8,8,9
29782,6550,85.3,13,8,8,8
29783,5,12.2,6.1,8,6,8
29784,75,9.1,6.9,8,8,7
29785,10,18.3,6.1,8,8,8
29786,15,24.4,6.1,8,8,8
29787,35,18.3,6.1,8,8,8
29788,35,18.3,6.1,8,8,8
29789,20,12.4,4.9,8,8,8
2979,14062,414.8,12.8,7,4,5
29790,10,12.6,6.6,8,8,8
29791,100,8.8,6.4,6,4,6
29792,10,12.5,6.5,8,8,8
29793,100,10.1,12.8,8,7,8
29794,35,105.5,7.5,8,8,8
29795,20,14,7.3,8,7,8
29796,50,14.1,7.4,7,7,8
29797,50,18.9,7.3,8,7,7
29798,50,10,7.3,7,7,8
29799,50,10,7.3,8,7,6
298,50279,10.2,0,N,N,N
2980,7706,59.1,12.8,6,6,8
29800,50,38.8,7.4,7,7,5
29801,50,21.1,7.3,8,7,8
29802,20,8.4,7.3,7,8,7
29803,25,6.9,6.7,N,N,N
29804,45,98.5,7.3,8,9,8
29805,50,8.3,7.3,8,7,5
29806,20,16.9,5.6,7,7,6
29807,5,15.1,7.4,7,7,8
29808,1000,7.8,9.1,N,N,N
29809,25,14.8,6.8,8,7,7
2981,7205,59.1,12.8,6,6,8
29810,10,12.2,6.7,8,8,8
29811,10,12.3,6.8,8,8,6
29812,30,18.3,4.9,8,8,8
29813,15,24.7,4.9,8,8,8
29814,35,27.4,7.5,8,8,8
29815,1026,27.7,14.8,7,8,7
29816,35,18.3,7.5,8,8,8
29818,35,15.2,7.5,8,8,8
29819,100,21.3,7.5,8,8,8
2982,3424,103.6,11.8,7,8,8
29820,100,39.6,8.1,7,7,9
29821,100,18.3,7.5,9,8,7
29822,100,18.3,7.5,8,8,8
29823,100,91.4,8.1,7,9,5
29824,854,9.1,0,N,N,N
29825,1142,14.6,0,N,N,N
29826,865,6.4,0,N,N,N
29827,1582,36,11.9,8,8,9
29828,40,92.7,7.5,8,7,8
29829,40,79.6,7.5,8,8,8
2983,7368,33.8,12.8,7,7,8
29830,30,20.9,7.6,8,6,7
29831,100,31.1,7.3,7,7,7
29832,100,6.3,0,N,N,N
29833,100,15.2,7.5,8,8,6
29834,50,15.2,7.5,8,8,8
29835,100,27.4,7.5,8,9,9
29836,1670,83.5,13,8,8,7
29837,15,13.7,5.5,8,7,8
29838,40,11.9,5.5,7,8,8
29839,15,20.7,5.6,8,7,8
2984,7205,33.8,12.8,6,6,7
29840,4856,9,0,N,N,N
29841,4856,10.1,0,N,N,N
29842,797,46.8,10.6,7,9,9
29843,2646,97.8,12.4,6,8,8
29844,25,15.2,6.1,8,8,9
29845,30,21.3,6.1,8,8,9
29846,30,12.2,6.1,9,8,9
29847,188,39.6,8.7,7,9,7
29848,185,100.6,10.6,8,9,9
29849,251,34.1,8.7,7,9,8
2985,3122,88.1,14.2,7,7,7
29850,1492,110.9,13,7,9,8
29851,35,9.1,6.1,9,8,9
29852,45,28,7.8,8,9,9
29853,15,9.1,6.2,8,6,8
29854,50,18.3,6.2,8,8,8
29855,35,7,6.2,8,6,7
29856,30,9.1,6.2,8,7,6
29857,20,9.1,6.2,8,7,7
29858,25,15.2,6.2,8,8,8
29859,30,9.1,6.2,8,7,5
2986,9097,41.5,12.8,7,7,8
2987,7331,41.5,12.8,7,7,9
2988,5313,101.5,14.2,7,8,6
2989,2625,106.7,8.4,7,8,8
299,1324,110.9,9.6,5,6,4
2991,10832,7.7,0,N,N,N
2992,3478,164.5,14.4,6,7,6
2993,2014,82.3,14.4,7,6,6
2994,5903,6.5,0,N,N,N
2995,420,65.5,8.8,6,6,6
2996,6680,51.2,13,8,8,8
2997,3111,11.8,0,N,N,N
2998,69643,50,24,7,6,6
2999,74701,50,24,7,6,6
3,6830,64,10.3,7,6,6
3000,5938,10,0,N,N,N
3001,2088,85.3,14.4,7,7,7
3002,3932,67.1,13,7,7,6
3003,3123,7.6,0,N,N,N
3004,45187,1646.8,16.7,7,7,7
3005,4819,70.4,14.4,7,7,7
3006,5293,47.9,14.4,7,7,6
30061,20,7,5.5,7,7,7
30062,30,16.8,5.5,8,8,8
30063,5,18.3,5.5,8,8,8
30064,35,17.1,17.1,7,7,6
30065,1000,18.3,8.7,7,6,7
30066,364,8.2,0,N,N,N
30067,200,21.3,6.2,7,7,7
30068,200,21.3,6.2,7,8,8
30069,250,21.3,7.3,8,7,8
3007,5293,47.9,14.4,7,8,6
30070,1482,23.5,11.2,N,N,N
30071,4091,55.2,14.2,9,9,9
30072,201,50.3,8.7,7,9,7
30073,461,40.2,8.7,8,9,9
30074,2249,335.6,9.6,7,8,8
30075,50,13,7.3,7,8,9
30076,35623,52,65.7,7,8,9
30077,59,20.1,9.1,7,7,7
30078,35,26.2,7.5,8,7,9
30079,40,33.8,8.1,7,8,8
3008,380,65.2,9.4,8,8,7
30080,285,45.7,11.3,7,7,7
30081,15,19.7,5.5,8,7,8
30082,20,13.4,5.4,8,7,8
30083,35,13.4,5.5,8,7,8
30084,100,16.8,6.9,8,7,6
30085,100,13.7,6.9,8,7,5
30086,100,27.4,7.5,7,8,8
30087,100,24.4,7.5,7,7,9
30088,40,29.9,7.5,8,7,9
30089,50,12.5,8,7,7,7
3009,3041,68,14.2,7,7,7
30090,75,9.3,7.8,7,7,8
30092,50,30.5,6.9,8,8,8
30093,25,37.2,8.1,7,9,9
30094,50,18.3,6.8,8,8,8
30095,250,56.2,7.5,8,8,9
30096,15,19.8,6.9,9,7,4
30097,15,32.8,7.5,7,7,9
30098,1000,8.5,11.9,N,N,N
30099,1683,60.4,9.3,7,7,8
301,631,7.6,0,N,N,N
3010,2550,108.2,14.7,6,6,6
30101,563,57,12.4,7,8,7
30102,6246,15.2,12.2,N,N,N
30103,10354,10.4,0,N,N,N
30104,679,65.2,11.8,7,7,7
30105,679,9.4,11.8,N,N,N
30106,679,10.4,11.8,N,N,N
30107,679,15.1,11.8,N,N,N
30108,679,8.7,11.8,N,N,N
30109,35,27.4,8.1,7,7,9
3011,1871,120.1,13.2,6,5,6
30110,75,27.4,8.1,7,7,9
30111,35,37.5,8.1,6,6,8
30112,100,57.3,8.1,9,8,5
30113,15,18.6,7.3,8,8,8
30115,35,11.1,7.3,8,8,8
30116,35,11,7.3,8,8,8
30117,25,15.7,7.3,8,8,8
30118,3540,10.2,0,N,N,N
30119,18349,72.5,12.4,7,8,9
3012,11052,6.3,0,N,N,N
30122,70,7.6,0,N,N,N
30123,1466,7.9,0,N,N,N
30124,7155,13.4,0,N,N,N
30125,10094,14.9,0,N,N,N
30126,8200,9,0,N,N,N
30127,4742,9.3,0,N,N,N
30128,7100,33.5,16.7,7,8,8
30129,50,13.7,7.5,8,7,8
3013,383,69.5,11.4,7,7,6
30130,50,50.3,7.5,7,9,9
30131,300,21.9,9.3,7,8,6
30132,100,21.3,7.6,8,7,8
30133,862,11.9,0,N,N,N
30134,862,15.8,24.2,N,N,N
30136,4848,88.3,14.4,7,8,9
30137,314,146,8.7,7,9,8
30138,7103,40.8,25.6,7,6,7
30139,1384,56.3,10.6,8,8,9
3014,1694,75,11.4,6,7,7
30140,34549,60.2,12.4,8,9,9
30141,24957,28.2,25.3,7,7,8
30142,758,46.5,10.6,7,9,9
30143,40,9.6,7,8,7,8
30144,35,10.2,7,9,7,8
30145,25,10.1,6,8,7,8
30146,35,7.9,7,8,7,7
30147,1808,54.6,13,7,9,9
30148,35,7.6,7,8,6,8
30149,30,12.5,5.4,8,7,8
3015,1314,11.6,0,N,N,N
30150,35,9.4,7,8,6,7
30151,2020,9.3,0,N,N,N
30152,5117,75,14,7,8,8
30153,50,22.9,7,8,7,7
30154,60,12.8,7,8,7,8
30155,140,16.8,7,7,6,7
30156,1084,12.8,0,N,N,N
30157,140,12.5,7,7,7,6
30158,60,19.5,7,7,7,7
30159,130,12.2,7,7,7,7
3016,7361,50.3,14.2,7,7,6
30160,10,7.6,7,7,6,7
30161,60,12.8,7,7,7,7
30162,50,18.6,7.1,7,7,7
30163,40,12.2,7,7,7,7
30164,100,9.1,7,7,7,8
30165,70,22.6,7,7,7,7
30166,50,21.6,7,7,7,7
30167,30,9.8,7,7,7,7
30168,50,10.1,7,7,7,7
30169,30,12.8,7,7,7,6
3017,7361,135,14.2,7,7,6
30170,20,13.4,7.1,7,7,7
30171,45,12.5,7,7,7,7
30172,60,7.6,7,7,7,7
30173,25,9,6.8,7,8,8
30174,60,9.8,6.9,7,7,7
30175,10,27.4,5.5,8,8,8
30176,10,9.3,6.4,8,8,8
30177,5,7.6,6.9,7,7,8
30178,5,10.8,6.3,8,9,9
30179,5,10.1,7,7,7,9
3018,28142,87.2,26.6,7,6,7
30180,5,21,6.4,9,7,8
30181,25,12.5,6.2,8,8,8
30182,60,7.6,7,7,7,5
30183,500,8,12.8,N,N,N
30184,20,9.1,7,7,7,5
30185,25,11.5,5.8,8,8,6
30186,50,10.1,7,6,6,6
30187,50,13.7,7.2,8,8,8
30188,100,13.7,7.2,8,8,8
30190,100,9.8,7.9,8,7,7
30191,250,10.7,8.2,8,7,7
30192,250,9.6,8,8,8,7
30193,3484,72.4,13,8,8,9
30194,352,74.9,11.2,7,7,9
30195,1570,46.3,13,8,8,9
30196,199,50.2,8.7,7,7,8
30197,349,53,10.6,7,7,8
30198,1431,80.5,13,6,7,7
30199,15,12.2,6.2,8,7,7
302,4238,7.2,0,N,N,N
3020,7486,144.8,14.4,7,7,6
30200,20,12.2,6.2,8,7,8
30201,25,12.2,6.2,8,8,7
30202,50,47.2,7.9,8,9,7
30203,15,12.2,6.1,8,8,8
30204,15,15.4,6.1,8,8,9
30205,35,12.2,6.1,8,8,8
30206,250,149.4,8.7,7,7,7
30207,45,17.6,8.5,8,9,9
30208,120,16.3,8.1,N,N,N
30209,1500,95.1,7,5,5,6
3021,334,6.6,0,N,N,N
30210,25,7.6,30.2,N,N,N
30212,100,7.3,12.1,8,8,8
30213,100,30.8,7.5,8,8,7
30214,40,11.9,7.5,8,7,8
30220,250,23.5,6.2,8,7,7
30221,250,24.7,6.2,8,7,8
30222,600,13.4,0,N,N,N
30223,25,12.8,6.2,8,8,7
30224,70,15.2,6.2,8,7,8
30225,50,9.8,6.9,7,7,8
30226,40,18.6,7.5,8,8,7
30227,200,15.8,6.2,8,7,8
30228,50,27.7,6.2,8,7,9
3023,1633,89.3,14.4,6,6,6
30239,150,12.2,6.2,9,7,8
3024,2921,7.7,0,N,N,N
30241,50,11.9,6.2,8,7,6
30243,30,7.3,6.9,7,7,8
30247,500,95.7,9.6,6,6,8
30248,40,24.7,6.2,8,7,8
3025,1521,70.4,11.4,7,6,7
30250,100,15.8,6.2,8,7,8
30252,50,9.4,6.2,8,7,6
30253,10,13.1,8.4,7,7,7
30256,200,11.6,7.5,8,7,8
3026,329,92,9.5,7,8,8
3027,3096,221,12.6,7,6,7
3028,688,181.4,11.4,7,7,7
3029,14327,57.3,13.9,7,8,8
30293,50,23.3,4,4,5,6
30294,228,6.5,0,N,N,N
30295,4985,77.1,14.2,7,7,9
30297,337,70.1,10.6,7,8,8
30298,20,16.3,6.1,7,7,7
30299,20,16.8,6.1,7,7,7
303,10202,49.8,12.3,6,6,7
3030,4472,47.5,8.6,7,7,7
30300,20,11.9,6.1,7,7,7
30301,40,8.2,6.1,8,7,6
30302,40,10.1,6.1,7,7,8
30303,337,41.5,10.6,8,8,8
30304,3856,55.1,14.2,8,8,8
30305,40,27.3,5.9,8,8,8
30306,40,27.3,27.3,7,7,8
30307,513,428.7,10.6,7,7,7
30308,540,171.4,10.6,7,8,6
30309,686,16.3,11,7,7,8
3031,1350,111.6,23.6,6,6,5
30310,40,21.3,6.2,8,7,7
30311,50,9.4,6.2,8,7,7
30312,200,9.1,6.3,8,7,7
30313,200,15.5,6.2,8,7,7
30314,20,12.2,6.2,8,7,7
30315,25,10.4,7.3,7,7,8
30316,150,9.1,6.2,8,7,7
30317,20,12.5,7.5,7,7,7
30318,60,12.5,6.2,6,7,7
30319,50,18.6,6.2,7,7,7
3032,198,213.1,8.8,9,8,7
30320,24796,30.2,16.8,7,7,9
30321,25350,30.2,16.8,7,7,8
30322,37176,48.2,16.8,7,7,8
30323,24796,48.5,19.3,7,7,8
30324,100,82.6,7.8,8,9,9
30325,18717,38.6,23.8,7,7,8
30326,3041,21.9,0,N,N,N
30327,100,9.1,0,N,N,N
30328,32500,6.7,0,N,N,N
30329,40,7,0,N,N,N
3033,730,76.5,8.8,5,5,7
30330,40,9.4,0,N,N,N
30331,1500,9.1,0,N,N,N
30334,25,14,6.7,7,7,7
30336,50,11.3,7.5,8,7,8
30337,44538,89.2,16.9,7,8,7
30338,55797,89.2,16.9,7,8,7
30339,1614,94.7,17,7,9,9
3034,208,122.5,8.7,8,7,8
30342,2592,88.8,12.2,7,7,7
30343,3229,110.5,14,7,7,6
30344,3551,52.3,14,8,7,9
30345,2601,89,12.2,7,7,8
30346,3945,58,12.4,9,8,8
30347,2647,103.4,12.2,7,7,9
30348,611,107.4,12.8,7,7,9
30349,2426,103.4,12.2,7,7,8
3035,206,94.2,8.7,8,7,7
30350,2647,229.6,12.2,7,8,9
30351,2592,229.6,12.2,7,8,9
30352,25,15.8,6.2,7,7,7
30353,100,61,7.5,7,8,8
30354,25,9.1,6.2,7,7,6
30355,20,8.2,6.2,8,7,8
30356,25,9.4,6.2,7,7,8
30357,25,18.3,6.2,7,7,8
30358,75,9.4,6.2,7,7,7
30359,15,9.4,6.2,8,7,7
3036,45071,43.9,16.8,7,7,7
30360,200,7.9,7.1,7,7,6
30361,50,9.8,6.2,7,7,6
30362,75,7.3,9.1,N,N,N
30363,70,6.1,8.5,N,N,N
30364,85,7,6.1,N,N,N
30365,80,7.2,8.4,N,N,N
30366,50,6.6,7.3,N,N,N
30367,100,8.1,11,N,N,N
30368,100,20,7.5,7,7,8
30369,15,28,6.9,7,9,9
3037,42915,43.9,16.8,6,7,7
3038,718,89.3,9.4,6,7,7
30382,35,14.3,7.6,8,8,8
30383,40,7.9,0,N,N,N
30384,20,30.2,7.7,8,7,7
30385,100,30.5,7.3,8,8,9
30393,100,14.6,7.6,8,7,9
30397,15,27.3,5.9,6,8,8
30398,35,63.7,7.5,8,8,8
304,20198,7.6,0,N,N,N
3040,61254,47.9,16.7,7,7,7
3041,2,6.4,13.6,N,N,N
3042,2820,6.7,0,N,N,N
30425,30,6.4,0,N,N,N
3043,3588,6.6,0,N,N,N
30437,8284,75,39.8,6,7,9
30438,3904,50.3,12.4,7,8,9
3044,98,64.3,9.5,7,7,7
30440,350,9.8,13.7,N,N,N
30441,1200,21.6,9.1,7,7,8
30442,2290,7,0,N,N,N
30443,50,11.3,7.3,7,7,9
30448,1174,76.8,13,7,9,8
30449,4428,44.5,12.4,8,8,9
3045,4373,142.6,14.7,7,6,5
30450,4654,53.6,12.4,8,9,9
30451,4294,53.6,12.4,7,9,9
30452,30,68,8.1,7,8,8
30453,4294,8.2,0,N,N,N
3046,7461,13.4,0,N,N,N
30477,292,8.3,0,N,N,N
30478,281,8.5,0,N,N,N
30479,1514,233.5,13,7,9,6
3048,21167,46.3,23.3,7,7,8
30480,3509,91.6,12.4,7,8,8
30481,45,82.1,8.1,8,7,9
30489,1781,105.7,13,8,9,7
3049,6794,523.6,13,6,7,5
30490,15613,108.8,20.6,7,8,8
30491,10955,110.8,12.4,7,9,9
30492,9463,110.8,12.4,7,9,9
30493,828,6.4,0,N,N,N
30494,35,23,8.1,9,9,8
30495,35,36,8.1,8,8,8
30496,100,7.4,6.2,7,7,6
30497,50,21.6,5.6,8,7,8
30498,50,14.6,7,8,8,4
30499,50,20.1,5.6,8,7,7
3050,6661,523.6,13,6,7,5
30500,50,10.9,7.3,N,N,N
30501,50,6.7,7.9,N,N,N
30502,25,6.6,6.9,8,8,6
30503,25,8.8,6.1,8,8,6
30504,15,15.3,5.6,8,7,7
30505,50,12.8,5.5,7,7,7
30506,6,39.6,3.6,6,6,6
30507,35,12.5,5.1,8,7,5
30508,700,8.5,0,N,N,N
30509,100,52.6,7.5,8,8,8
3051,4329,257.3,14.5,6,7,7
30510,100,26.5,8.2,7,7,8
30511,10,44.5,7.9,7,7,7
30512,25,34.1,7.5,7,7,9
30513,12130,10.1,0,N,N,N
30514,8200,7.3,0,N,N,N
30515,18500,9.8,24.4,N,N,N
30516,400,40,14.3,8,8,8
30517,15591,99.4,18.8,7,8,8
30518,1891,7.3,0,N,N,N
30519,122,32.9,8.1,7,7,9
3052,6590,228.9,13,6,7,7
30520,380,29.2,10.6,7,7,7
30521,380,47.2,10.6,8,8,8
30522,628,74.3,13,7,8,9
30523,607,110.7,13,7,8,9
30524,329,192,10.6,7,9,9
30525,15591,53,18.8,7,8,8
30526,4127,61.5,13,7,7,8
30528,35,21.3,7.5,7,7,5
30529,50,36.9,7.5,8,9,7
30530,30,45.1,7.5,8,9,9
30532,15,18.3,7.5,9,7,7
30533,2,6.1,4.9,6,7,5
30534,300,31.1,6.7,7,7,7
30535,35,18.8,6.7,8,7,6
30536,20,16.8,7.5,8,7,5
30537,400,12.5,9.6,7,7,7
30544,124,19.2,7.9,7,7,9
30545,30,6.7,0,N,N,N
30546,130,20.7,11.5,8,7,9
30547,10781,71,19.7,7,8,8
30548,3292,31.4,11.8,7,7,9
30549,35,42.1,4.9,8,8,7
3055,1698,432.2,12.6,7,6,6
30550,15,15.2,4.9,8,8,8
30551,30,15.2,4.9,8,8,8
30552,30,18.3,4.9,8,8,8
30553,25,18.3,4.9,8,8,8
30554,1000,26.2,11.2,7,7,7
30555,30,15.2,4.9,8,8,8
30556,50,6.7,6.2,8,7,7
30557,35,58.5,7.9,7,8,7
30558,150,16.8,10.3,N,N,N
30559,300,21.9,9.9,N,N,N
3056,10448,46,14.4,7,7,7
30560,40,20.4,8.4,8,7,7
30561,75,14.1,7.3,8,8,8
30562,50,20.5,7.3,7,8,8
30563,150,51.2,7.5,8,8,8
30564,125,83.2,7.5,8,8,9
30565,15,21.3,6.9,8,8,8
30566,20,15.2,6.9,8,8,8
30567,15,23.8,8.1,8,8,8
30568,35,12.2,7.3,8,8,9
30569,15,11.6,7.6,8,8,9
30570,15,13.9,6.1,8,8,7
30571,15,12.2,7.6,7,9,9
30572,40,23.5,7.5,8,8,8
30573,15,11.9,5.6,6,6,7
30574,10,66.4,7.5,8,8,8
30575,15,9.8,7,6,6,8
30576,50,18.4,7.6,8,8,8
30578,15,16.5,7.6,8,8,9
30579,35,14.3,7.6,7,8,7
3058,1932,96,12.6,6,6,7
30580,35,10.1,6.9,8,6,7
30581,30,7.6,6.9,9,7,9
30582,30,12.2,4.9,8,8,8
30583,35,15.2,4.9,8,8,8
30584,20,12.2,4.9,8,8,8
30585,5,15.2,4.9,8,8,8
30587,20,15.2,4.9,8,8,8
30588,20,15.2,4.9,8,8,8
30589,20,12.2,4.9,8,8,8
3059,1932,9.8,0,N,N,N
30590,20,12.2,4.9,8,8,8
30591,43542,49.1,21.8,6,7,7
30592,25,59.4,7.9,8,9,8
30593,4510,41.1,13.9,8,9,9
30594,30,47.2,9.1,7,8,8
30595,144,29.6,8.7,8,8,9
30596,200,18.1,9.1,9,8,7
30597,400,137.2,9.9,7,7,7
30598,390,19.5,10.4,8,8,8
30599,650,28,9.4,7,7,8
3060,7412,43.3,23,6,6,7
30600,45,19.2,8.5,8,9,9
30601,20,28,7.5,8,8,7
30602,50,38.1,7.5,8,7,8
30603,25,6.4,7.3,N,N,N
30604,25,25.8,7.5,8,8,9
